id,tipo_equipo,enciende,sufrio_golpe,hace_ruido,sobrecalienta,muy_lento,pantalla_negra,pantalla_azul,no_imprime,atasca_papel,imprime_lineas,succion_bomba,no_enciende_del_todo,reinicia_solo,error_sistema,pitidos_encendido,funciona_sin_bateria,funciona_tras_golpe,muy_lento_post_formato,tipo_falla,reparacion,costo_aprox
630,PC de escritorio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,50.76
631,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,46.42
632,PC de escritorio,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,49.36
633,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.02
634,PC de escritorio,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,50.38
635,PC de escritorio,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.28
636,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Falla de energía,Revisión de fuente o cargador,44.39
637,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,43.63
638,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,41.27
639,PC de escritorio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.56
640,PC de escritorio,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,51.54
641,PC de escritorio,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,Falla de energía,Revisión de fuente o cargador,47.95
642,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Falla de energía,Revisión de fuente o cargador,46.93
643,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,54.76
644,Laptop,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.57
645,PC de escritorio,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,45.32
646,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.86
647,PC de escritorio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,46.24
648,PC de escritorio,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.14
649,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.81
650,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.54
651,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,49.78
652,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,41.4
653,PC de escritorio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.85
654,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.82
655,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.56
656,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,49.24
657,Laptop,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.79
658,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.49
659,Laptop,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.96
660,PC de escritorio,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,40.48
661,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.16
662,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.47
663,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.27
664,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.94
665,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.05
666,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.14
667,PC de escritorio,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.6
668,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,Falla de energía,Revisión de fuente o cargador,54.82
669,PC de escritorio,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.98
670,PC de escritorio,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,45.51
671,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,49.31
672,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,50.11
673,PC de escritorio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,49.0
674,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.35
675,PC de escritorio,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,Falla de energía,Revisión de fuente o cargador,51.26
676,PC de escritorio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Falla de energía,Revisión de fuente o cargador,51.32
677,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,53.5
678,PC de escritorio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Falla de energía,Revisión de fuente o cargador,44.63
679,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.46
680,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,46.71
681,PC de escritorio,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Falla de energía,Revisión de fuente o cargador,46.14
682,Laptop,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,44.3
683,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.37
684,PC de escritorio,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,Falla de energía,Revisión de fuente o cargador,41.6
685,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,44.09
686,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,51.99
687,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,41.61
688,PC de escritorio,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,Falla de energía,Revisión de fuente o cargador,52.39
689,Laptop,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Falla de energía,Revisión de fuente o cargador,46.58
690,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.67
691,Laptop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.29
692,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,49.16
693,Laptop,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,51.15
694,Laptop,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,Falla de energía,Revisión de fuente o cargador,46.55
695,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.34
696,Laptop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.85
697,Laptop,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.1
698,PC de escritorio,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,41.17
699,Laptop,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,45.99
700,Laptop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Falla de energía,Revisión de fuente o cargador,44.92
701,Laptop,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,49.37
702,Laptop,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.02
703,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.19
704,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.03
705,Laptop,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,40.23
706,PC de escritorio,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,54.91
707,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,46.32
708,Laptop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.12
709,Laptop,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,47.94
710,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.67
711,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.44
712,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,51.06
713,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,40.76
714,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,43.6
715,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,54.56
716,Laptop,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,43.1
717,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,44.73
718,Laptop,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,51.21
719,PC de escritorio,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,41.88
720,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.53
721,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.81
722,Laptop,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.59
723,Laptop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.88
724,PC de escritorio,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.73
725,PC de escritorio,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,47.34
726,PC de escritorio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.03
727,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,52.0
728,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.6
729,PC de escritorio,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,Falla de energía,Revisión de fuente o cargador,50.95
730,PC de escritorio,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.87
731,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,50.77
732,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,54.02
733,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,54.89
734,PC de escritorio,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,Falla de energía,Revisión de fuente o cargador,53.06
735,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.53
736,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Falla de energía,Revisión de fuente o cargador,53.1
737,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,50.78
738,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.97
739,Laptop,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,53.19
740,PC de escritorio,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.14
741,PC de escritorio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.54
742,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.84
743,PC de escritorio,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.35
744,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Falla de energía,Revisión de fuente o cargador,52.8
745,Laptop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,41.38
746,Laptop,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,Falla de energía,Revisión de fuente o cargador,45.37
747,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Falla de energía,Revisión de fuente o cargador,44.11
748,PC de escritorio,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,Falla de energía,Revisión de fuente o cargador,41.88
749,Laptop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.1
750,Laptop,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.84
751,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.01
752,PC de escritorio,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,41.16
753,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.6
754,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.9
755,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.23
756,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,52.75
757,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.65
758,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.73
759,PC de escritorio,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.69
760,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.25
761,PC de escritorio,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,43.14
762,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,48.99
763,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,40.55
764,PC de escritorio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,49.63
765,PC de escritorio,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,Falla de energía,Revisión de fuente o cargador,49.26
766,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.66
767,PC de escritorio,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,49.64
768,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,51.51
769,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.8
770,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,48.92
771,PC de escritorio,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.21
772,Laptop,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.58
773,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.36
774,PC de escritorio,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.48
775,Laptop,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,51.47
776,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,45.63
777,PC de escritorio,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,50.98
778,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,54.74
779,PC de escritorio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,53.15
780,Laptop,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,Falla de energía,Revisión de fuente o cargador,49.28
781,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.0
782,PC de escritorio,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.27
783,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.95
784,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.86
785,PC de escritorio,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.19
786,PC de escritorio,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.82
787,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,53.87
788,Laptop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,40.78
789,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.13
790,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.01
791,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,53.58
792,PC de escritorio,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,53.22
793,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.43
794,Laptop,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,49.7
795,PC de escritorio,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,Falla de energía,Revisión de fuente o cargador,49.37
796,Laptop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,52.97
797,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.63
798,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.89
799,Laptop,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,42.73
800,Laptop,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,42.36
801,Laptop,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,46.54
802,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.34
803,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,50.55
804,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,48.97
805,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.01
806,Laptop,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,47.61
807,PC de escritorio,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,Falla de energía,Revisión de fuente o cargador,53.56
808,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,53.97
809,PC de escritorio,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Falla de energía,Revisión de fuente o cargador,46.3
810,Laptop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,54.61
811,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,49.75
812,PC de escritorio,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,49.11
813,Laptop,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,45.29
814,Laptop,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,52.24
815,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,41.48
816,Laptop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,50.87
817,Laptop,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,50.33
818,PC de escritorio,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.3
819,Laptop,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Falla de energía,Revisión de fuente o cargador,49.94
820,PC de escritorio,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,50.72
821,Laptop,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,48.47
822,Laptop,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,47.7
823,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,51.18
824,Laptop,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,44.79
825,Laptop,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,51.41
826,Laptop,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Falla de energía,Revisión de fuente o cargador,46.14
827,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Falla de energía,Revisión de fuente o cargador,43.2
828,Laptop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falla de energía,Revisión de fuente o cargador,53.02
829,PC de escritorio,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Falla de energía,Revisión de fuente o cargador,43.68
830,Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Falla de energía,Revisión de fuente o cargador,46.79
